               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 103,            0.018541,           0.0038773,           0.0011767,             0.99881,             0.99947,             0.99486,             0.79271,             0.01714,           0.0026718,          0.00039264,           0.0058744,           0.0058744,           0.0058744
                 104,            0.018546,            0.003849,           0.0012819,             0.99868,             0.99947,             0.99482,             0.79315,             0.01706,            0.002662,           0.0003898,           0.0058116,           0.0058116,           0.0058116
                 105,            0.018383,           0.0038718,           0.0012929,             0.99871,             0.99947,             0.99496,             0.79442,             0.01706,           0.0026539,          0.00038346,           0.0057488,           0.0057488,           0.0057488
                 106,            0.018618,           0.0038448,           0.0013512,             0.99864,             0.99947,             0.99496,             0.79387,              0.0171,           0.0026588,          0.00039494,           0.0056862,           0.0056862,           0.0056862
                 107,            0.018567,           0.0039046,            0.001349,             0.99875,             0.99947,             0.99493,             0.79467,            0.017088,           0.0026542,          0.00038993,           0.0056236,           0.0056236,           0.0056236
                 108,            0.018446,           0.0039022,           0.0012723,             0.99876,             0.99947,             0.99494,             0.79417,            0.016986,           0.0026453,          0.00038972,           0.0055611,           0.0055611,           0.0055611
                 109,            0.018378,            0.003864,           0.0013015,             0.99842,             0.99947,             0.99496,             0.79426,            0.017017,           0.0026553,          0.00039258,           0.0054987,           0.0054987,           0.0054987
                 110,            0.018335,            0.003816,           0.0011824,             0.99854,             0.99947,             0.99495,             0.79449,            0.017068,           0.0026419,          0.00037586,           0.0054364,           0.0054364,           0.0054364
                 111,            0.018197,           0.0038049,           0.0010257,             0.99878,             0.99924,             0.99495,              0.7929,            0.017051,            0.002643,           0.0003669,           0.0053743,           0.0053743,           0.0053743
                 112,            0.018328,            0.003833,           0.0012387,             0.99862,             0.99947,             0.99493,              0.7924,            0.017078,           0.0026532,          0.00036419,           0.0053123,           0.0053123,           0.0053123
                 113,            0.018212,           0.0037657,           0.0011897,             0.99873,             0.99947,             0.99493,             0.79461,            0.017055,           0.0026448,          0.00036651,           0.0052505,           0.0052505,           0.0052505
                 114,             0.01827,           0.0037359,           0.0011576,             0.99874,             0.99947,             0.99495,               0.793,            0.017074,           0.0026396,          0.00036021,           0.0051889,           0.0051889,           0.0051889
                 115,            0.018249,           0.0038146,           0.0012372,              0.9989,             0.99947,             0.99495,             0.79403,            0.017025,           0.0026378,          0.00035955,           0.0051274,           0.0051274,           0.0051274
                 116,             0.01824,           0.0038528,           0.0011529,             0.99883,             0.99947,             0.99495,             0.79333,            0.017061,           0.0026376,          0.00036054,           0.0050662,           0.0050662,           0.0050662
                 117,            0.018008,           0.0037387,           0.0011787,             0.99884,             0.99947,             0.99493,             0.79505,            0.017054,           0.0026341,          0.00036038,           0.0050052,           0.0050052,           0.0050052
                 118,            0.018077,           0.0038488,           0.0012417,             0.99893,             0.99947,             0.99481,             0.79625,            0.017008,           0.0026299,          0.00035869,           0.0049445,           0.0049445,           0.0049445
                 119,             0.01813,             0.00381,           0.0012037,             0.99883,             0.99947,             0.99485,             0.79665,            0.016989,           0.0026262,          0.00035898,            0.004884,            0.004884,            0.004884
                 120,            0.018024,            0.003777,           0.0010268,             0.99888,             0.99947,             0.99488,             0.79399,            0.017013,           0.0026286,          0.00035483,           0.0048238,           0.0048238,           0.0048238
                 121,            0.017827,           0.0037387,           0.0011369,             0.99898,             0.99947,             0.99481,             0.79604,            0.017033,           0.0026318,          0.00035042,           0.0047639,           0.0047639,           0.0047639
                 122,            0.017912,           0.0037574,           0.0010977,             0.99903,             0.99947,             0.99488,             0.79362,            0.017063,           0.0026312,          0.00035152,           0.0047043,           0.0047043,           0.0047043
                 123,            0.017875,           0.0037412,           0.0011197,             0.99875,             0.99947,              0.9949,             0.79354,            0.017032,            0.002626,          0.00034748,            0.004645,            0.004645,            0.004645
                 124,            0.017916,           0.0037607,           0.0012116,             0.99872,             0.99947,             0.99492,             0.79267,            0.017063,           0.0026275,          0.00034333,           0.0045861,           0.0045861,           0.0045861
                 125,             0.01779,           0.0036999,           0.0010644,             0.99871,             0.99947,             0.99495,             0.79133,            0.017091,           0.0026249,          0.00033693,           0.0045275,           0.0045275,           0.0045275
                 126,            0.017699,           0.0037545,           0.0010541,             0.99859,             0.99947,             0.99496,             0.79222,             0.01709,           0.0026241,          0.00033518,           0.0044693,           0.0044693,           0.0044693
                 127,            0.017676,           0.0037838,           0.0010714,             0.99862,             0.99947,             0.99496,             0.79303,            0.017083,           0.0026234,          0.00033477,           0.0044114,           0.0044114,           0.0044114
                 128,            0.017798,           0.0037947,           0.0011785,             0.99867,             0.99947,             0.99495,             0.79157,            0.017088,           0.0026262,           0.0003333,           0.0043539,           0.0043539,           0.0043539
